Menu Type,Menu Depth,Menu Breadth,Target Item
Marking,2,4,Mammals
Marking,2,4,Meat
Marking,2,4,Hats
Marking,2,6,Kitchen
Marking,2,6,Oceania
Marking,2,6,University
Marking,3,4,Owl
Marking,3,4,Slippers
Marking,3,4,Skirt
Marking,3,6,Bed
Marking,3,6,Malaysia
Marking,3,6,NTU
Marking,1,4,Clothing
Marking,1,4,Food
Marking,1,4,Animals
Marking,1,6,Continents
Marking,1,6,Household
Marking,1,6,Clothing
Radial,2,4,Meat
Radial,2,4,Mammals
Radial,2,4,Hats
Radial,2,6,Oceania
Radial,2,6,Kitchen
Radial,2,6,University
Radial,3,4,Slippers
Radial,3,4,Owl
Radial,3,4,Skirt
Radial,3,6,Malaysia
Radial,3,6,Bed
Radial,3,6,NTU
Radial,1,4,Food
Radial,1,4,Clothing
Radial,1,4,Animals
Radial,1,6,Household
Radial,1,6,Continents
Radial,1,6,Clothing
